DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
100035,0.798639268,0.001659943,0.199700789,0.28447425,0.25534121,0.143512635,-0.087520032,-0.051811165,-0.036265354,-0.11473301,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.029802564,0.017884228,0,0,0,0,0.138445912,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,3.01769
100036,0.128918353,0.671211912,0.199869735,0.284816603,0.334407739,0.095971498,-0.011928307,0.011184276,-0.074773561,-0.068566423,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.029802564,0.017884228,0,0,0,0,0.069269,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,2.24511
100037,0.798716602,0.001285548,0.19999785,0.285129274,0.362163297,0.014323202,0.043710749,-0.00886338,-0.050579844,-0.024673836,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.029802564,0.017884228,0,0,0,0,0.314259541,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,6.85908
100038,0.798300971,0.002125877,0.199573152,0.284966029,0.265461495,0.141278034,-0.041018388,-0.037060583,-0.032995525,-0.058001037,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.029802564,0.017884228,0,0,0,0,0.212856006,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,4.32904
100039,0.693300941,0.106702167,0.199996893,0.285317925,0.40110694,0.091902791,0.115930315,0.069387222,-0.022863691,0.00597234,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.029802564,0.017884228,0,0,0,0,0.301330702,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,7.43255
100040,0.799841402,1.62E-04,0.199996496,0.285007821,0.25073167,0.083499388,-0.086529324,-0.086353242,-0.048643264,-0.093648914,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.029802564,0.017884228,0,0,0,0,0.300172724,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,6.59925
100041,0.686424621,0.113732216,0.199843163,0.285061842,0.291811031,0.043169125,-0.062435686,-0.052391909,-0.062390175,-0.073560866,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.035,0.0413,0.0262,0.0341,0.0352,0.029802564,0.017884228,0,0,0,0,0.274042915,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,5.60989
100042,0.322034131,0.48061987,0.197345999,0.284668607,0.376904639,0.12056385,0.065025523,0.088273736,-0.056693198,0.018702735,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0,0,0,0,0,0,0,0.052587836,0.04672904,0.223478146,0.138615023,0,0,0.068001077,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,3.1995
100043,0.794173537,0.005829211,0.199997252,0.285417269,0.336407528,-0.019379242,-7.99E-04,-0.054587179,-0.065158237,-0.034660436,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,4.75E-04,9.50E-04,0.001425,0.0019,0.01885,0.0358,0.0459,0.269662486,0.245401726,0.175890239,0.169901685,0.188238764,0.223478146,0.138615023,0.032792135,0,0,0,0.045302698,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,1.62755
100044,0.59523371,0.204931243,0.199835047,0.285261791,0.355506998,0.072106899,0.019502687,0.018730735,-0.079630669,-0.038491661,0.0565,0.0144,0.0235,0,0.0562,0.0653,0,0.0975,0.1872,0.2579,0.2903,0.2349,0.2258,0.2849,0.3021,0.3314,0.4757,0.4983,0.4205,0.4816,0,0,0,0,0,0,0,0.441658161,0.372598885,0.269662486,0.245401726,0.175890239,0.286822478,0.301555844,0.223478146,0.138615023,0,0,0,0,0.049007688,3,2,10,0.307950909,0.105601411,0.8476459,0.1093644,0.92,0.813,0.97,0.89,0.71,0.422,0.96,0.9,0.94,0.813,0.98,0.9,0,1.83318
